R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Guingamp,54,3,8,3,0
2,Nimes,39,6,8,4,1
3,Toulouse,39,4,8,5,1
4,Dijon,36,5,15,3,1
5,Monaco,34,8,8,5,2
6,Caen,32,3,11,6,2
7,Angers,32,5,7,3,2
8,Rennes,31,3,13,4,1
9,Amiens,29,3,12,6,2
10,Nantes,29,2,13,4,0
11,Marseille,29,8,5,10,0
12,Strasbourg,27,3,10,7,1
13,Lyon,26,3,10,5,3
14,Reims,25,1,7,7,2
15,Saint-Etienne,22,4,7,7,1
16,Nice,22,1,8,3,1
17,Montpellier,21,4,12,3,2
18,Bordeaux,19,2,15,6,0
19,Lille,18,3,6,6,0
20,Paris Saint-Germain,16,3,7,5,4
