Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Paris Saint-Germain,14.8,6.1,11.9,11.7,7.05
2. Lyon,17.7,6.6,12.2,12.3,6.91
3. Lille,13.1,5.1,9.6,13.4,6.84
4. Montpellier,13.4,4.5,8,12.6,6.81
5. Saint-Etienne,13.1,4.7,8.3,12,6.78
6. Marseille,13.9,4.5,9.4,12,6.78
7. Nice,11.6,3.4,13.3,13.6,6.76
8. Nimes,13.7,4.7,9.6,13,6.75
9. Strasbourg,10.6,4.1,7.5,10.6,6.73
10. Rennes,12.4,4.2,10.3,12.8,6.73
11. Reims,10.7,3.6,8.4,12.3,6.72
12. Nantes,13.6,3.9,7.4,13.1,6.71
13. Angers,11.9,4.1,8.3,11.7,6.70
14. Bordeaux,11.2,3.6,9.1,13.1,6.67
15. Toulouse,11.4,3.5,9.6,12.3,6.62
16. Monaco,12.3,4.2,7.7,13.3,6.61
17. Caen,8.8,2.5,7.1,13.2,6.59
18. Dijon,12,3.8,9.2,11.7,6.59
19. Amiens,10.2,3.1,6.7,13.7,6.57
20. Guingamp,10.9,3,9.3,12.2,6.55
