R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Paris Saint-Germain,16,5,36,587
2,Lyon,18,3,46,507
3,Nice,13,1,52,476
4,Marseille,22,2,54,424
5,Saint-Etienne,20,1,65,394
6,Bordeaux,17,1,58,390
7,Lille,15,2,55,388
8,Strasbourg,19,1,68,382
9,Monaco,20,1,50,379
10,Rennes,18,1,55,374
11,Nantes,19,1,60,364
12,Montpellier,20,1,69,353
13,Toulouse,17,1,59,349
14,Angers,17,1,55,347
15,Dijon,16,1,66,343
16,Amiens,15,1,61,324
17,Reims,17,1,60,312
18,Guingamp,21,0,61,307
19,Nimes,20,1,64,299
20,Caen,17,1,71,297
