Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Paris Saint-Germain,10.5,18.4,9,12.5,2.4,7.05
2. Lyon,12.6,16.8,9.6,11.7,2.5,6.91
3. Lille,9.9,16.5,10.2,12.6,1,6.84
4. Montpellier,11.9,20,12.8,14.1,1.5,6.81
5. Saint-Etienne,12.4,17.7,11.6,11.9,1.6,6.78
6. Marseille,10.5,20.5,10.6,13.2,1.2,6.78
7. Nice,13.1,17.4,11.8,11.2,1.1,6.76
8. Nimes,12.8,19.3,11.7,12.8,1.1,6.75
9. Strasbourg,13.1,17.1,11.3,13.5,1.1,6.73
10. Rennes,12.6,17.2,10.2,12.9,1.6,6.73
11. Reims,11.8,20,12.8,14,2.1,6.72
12. Nantes,10.7,20.2,11.4,13,2,6.71
13. Angers,12.1,17.7,11.1,11.8,1.3,6.70
14. Bordeaux,13.1,18.9,10.3,14.3,1.6,6.67
15. Toulouse,15,17.6,10.1,14.7,1.8,6.62
16. Monaco,11.3,18.1,10.2,13.9,1.4,6.61
17. Caen,14.3,18.7,12.9,14.7,1.3,6.59
18. Dijon,14.3,17.7,12.7,15.1,1.6,6.59
19. Amiens,13.2,16.6,10.3,13.7,1.7,6.57
20. Guingamp,12.3,18,11,12.8,1.4,6.55
