R,Team,Own Third,Middle Third,Opposition Third
1,Reims,30%,46%,25%
2,Nice,30%,46%,23%
3,Bordeaux,29%,48%,25%
4,Saint-Etienne,28%,46%,26%
5,Toulouse,28%,45%,26%
6,Caen,28%,48%,23%
7,Strasbourg,27%,47%,26%
8,Amiens,27%,47%,26%
9,Rennes,27%,47%,27%
10,Dijon,27%,46%,28%
11,Angers,27%,49%,25%
12,Nimes,26%,45%,28%
13,Monaco,26%,46%,28%
14,Nantes,26%,46%,28%
15,Montpellier,26%,47%,27%
16,Marseille,25%,47%,28%
17,Guingamp,25%,47%,28%
18,Lille,25%,48%,27%
19,Lyon,24%,47%,28%
20,Paris Saint-Germain,22%,47%,31%
