R,Team,Fouls,Unprofessional,Dive,Other
1,Monaco,69,3,0,26
2,Dijon,66,3,0,13
3,Caen,63,6,0,16
4,Marseille,61,8,0,22
5,Nantes,60,1,0,18
6,Lille,60,3,0,12
7,Toulouse,59,3,0,18
8,Nimes,58,2,0,15
9,Reims,55,2,0,12
10,Bordeaux,54,5,0,21
11,Strasbourg,52,5,0,17
12,Nice,52,1,0,24
13,Saint-Etienne,51,2,0,17
14,Rennes,49,7,0,15
15,Montpellier,49,2,0,13
16,Guingamp,48,2,0,13
17,Paris Saint-Germain,47,5,0,16
18,Amiens,46,2,0,17
19,Lyon,45,3,0,10
20,Angers,41,2,0,10
