Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Paris Saint-Germain,14.8,4.3,1.3,9.1,7.05
2. Lyon,17.7,6.9,1.2,9.6,6.91
3. Lille,13.1,5.6,0.5,6.9,6.84
4. Montpellier,13.4,5.9,0.9,6.6,6.81
5. Saint-Etienne,13.1,5.2,1.1,6.8,6.78
6. Marseille,13.9,5.2,1,7.7,6.78
7. Nice,11.6,5.2,0.7,5.7,6.76
8. Nimes,13.7,6.1,1.1,6.5,6.75
9. Rennes,12.4,5.4,1.1,5.9,6.73
10. Strasbourg,10.6,4.4,0.6,5.6,6.73
11. Reims,10.7,4.1,0.5,6,6.72
12. Nantes,13.6,6.6,0.7,6.3,6.71
13. Angers,11.9,4.7,0.9,6.3,6.70
14. Bordeaux,11.2,5.6,0.6,5.1,6.67
15. Toulouse,11.4,4.4,0.6,6.3,6.62
16. Monaco,12.3,4.9,0.6,6.7,6.61
17. Dijon,12,5.7,0.4,5.8,6.59
18. Caen,8.8,4.1,0.5,4.2,6.59
19. Amiens,10.2,5,0.4,4.8,6.57
20. Guingamp,10.9,4.7,0.6,5.7,6.55
