Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Paris Saint-Germain,16.4,5.2,1.1,10.1,7.16
2. Lyon,15.3,6.5,0.9,7.9,7.04
3. Marseille,16.4,6.1,1.6,8.7,6.99
4. Monaco,12.9,4.9,0.9,7.1,6.94
5. Montpellier,12.9,6.5,0.6,5.8,6.78
6. Nice,12.8,5.6,0.6,6.6,6.77
7. Bordeaux,12.4,5.5,0.9,5.9,6.77
8. Rennes,12.3,5.4,0.9,5.9,6.75
9. Saint-Etienne,11.1,4.6,0.8,5.8,6.74
10. Nantes,13.2,6.3,0.6,6.3,6.72
11. Guingamp,11.8,4.9,0.6,6.3,6.72
12. Dijon,11.6,5.2,0.3,6.1,6.71
13. Amiens,9.5,4.4,0.8,4.3,6.71
14. Toulouse,11.4,4.6,0.9,5.9,6.68
15. Lille,11.3,5.8,0.3,5.3,6.66
16. Caen,12.1,5.5,0.4,6.2,6.65
17. Strasbourg,11.9,5.1,0.7,6.2,6.65
18. Angers,12.2,5.3,0.7,6.1,6.62
19. Metz,11.3,5.3,0.6,5.4,6.59
20. Troyes,9.5,4.1,0.6,4.9,6.59
