Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Paris Saint-Germain,16.4,6.7,16.8,13,7.16
2. Lyon,15.3,6.1,14.8,13.9,7.04
3. Marseille,16.4,6.1,14,12.6,6.99
4. Monaco,12.9,4.8,9.2,13.6,6.94
5. Montpellier,12.9,4.2,10,13.9,6.78
6. Bordeaux,12.4,4,12.1,12.4,6.77
7. Nice,12.8,4.8,13.3,14,6.77
8. Rennes,12.3,3.8,9.4,13.8,6.75
9. Saint-Etienne,11.1,4.1,9.8,12.9,6.74
10. Nantes,13.2,3.6,9.1,10.8,6.72
11. Guingamp,11.8,4.4,10.4,13.6,6.72
12. Amiens,9.5,2.7,10.4,12.1,6.71
13. Dijon,11.6,4.2,11.6,12.4,6.71
14. Toulouse,11.4,3.9,10.3,13,6.68
15. Lille,11.3,3.7,15.2,11.3,6.66
16. Strasbourg,11.9,3.4,10,11.5,6.65
17. Caen,12.1,3.3,8.1,11.4,6.65
18. Angers,12.2,4.1,10,11.5,6.62
19. Troyes,9.5,3.3,8.2,10.2,6.59
20. Metz,11.3,4.2,9.4,11.4,6.59
