R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Troyes,22,2,67,466
2,Angers,18,2,62,449
3,Amiens,22,2,62,430
4,Nantes,23,1,72,429
5,Metz,19,2,61,427
6,Montpellier,17,1,70,413
7,Caen,17,2,67,404
8,Toulouse,19,2,64,390
9,Bordeaux,17,1,62,382
10,Guingamp,19,2,63,377
11,Dijon,22,2,64,375
12,Saint-Etienne,22,2,61,373
13,Rennes,19,2,63,365
14,Lille,17,1,55,365
15,Monaco,19,2,63,363
16,Strasbourg,19,2,57,361
17,Nice,19,1,54,357
18,Lyon,20,1,57,343
19,Marseille,15,1,59,303
20,Paris Saint-Germain,16,1,48,274
