Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Paris Saint-Germain,10.8,16.9,8.8,11.2,2.4,7.16
2. Lyon,11.4,16.9,11.9,12.5,2.1,7.04
3. Marseille,10.8,19.5,11.6,13.1,2.1,6.99
4. Monaco,12.1,18.9,13.1,13.4,1.9,6.94
5. Montpellier,10.1,17.9,13.2,11.8,2.2,6.78
6. Bordeaux,11,18.4,12.2,14,2,6.77
7. Nice,12.8,15.5,11.4,11.7,1.7,6.77
8. Rennes,11.3,17.3,10.9,12.6,2.3,6.75
9. Saint-Etienne,13.9,17.8,10.6,13.4,2.4,6.74
10. Nantes,12.5,19.9,11.2,12.9,2.2,6.72
11. Guingamp,12.9,16.8,12.5,13.1,2.6,6.72
12. Amiens,15.8,17.3,13.7,13.3,1.8,6.71
13. Dijon,13.8,18,14.3,12.9,1.9,6.71
14. Toulouse,12.4,18.4,12.6,15.5,2,6.68
15. Lille,13.4,17.9,12.8,12.7,2.3,6.66
16. Strasbourg,12.2,19.7,13.5,13.8,2,6.65
17. Caen,11.5,19.2,12.6,13.8,2,6.65
18. Angers,11,17.4,10.8,12.9,1.6,6.62
19. Troyes,14.3,17.2,11.5,13,1.7,6.59
20. Metz,14.3,18.6,13.4,14,1.5,6.59
