R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Paris Saint-Germain,18,6,41,611
2,Nice,15,1,56,529
3,Lyon,15,2,47,467
4,Marseille,23,3,53,453
5,Lille,16,2,53,435
6,Saint-Etienne,17,1,62,397
7,Bordeaux,19,2,58,387
8,Monaco,20,2,57,383
9,Guingamp,19,1,65,365
10,Rennes,20,2,63,364
11,Montpellier,23,1,66,352
12,Dijon,15,2,70,347
13,Angers,17,2,59,344
14,Strasbourg,21,2,70,329
15,Metz,18,0,79,325
16,Troyes,18,1,66,320
17,Nantes,21,1,63,319
18,Amiens,16,1,66,307
19,Caen,26,1,70,306
20,Toulouse,22,1,65,303
