R,Team,Own Third,Middle Third,Opposition Third
1,Amiens,30%,47%,23%
2,Saint-Etienne,29%,46%,25%
3,Troyes,29%,46%,24%
4,Nice,29%,48%,23%
5,Dijon,29%,46%,25%
6,Strasbourg,28%,46%,25%
7,Lille,28%,46%,26%
8,Toulouse,27%,45%,28%
9,Nantes,27%,45%,28%
10,Metz,27%,46%,26%
11,Caen,26%,47%,27%
12,Guingamp,26%,46%,28%
13,Angers,26%,48%,26%
14,Lyon,25%,48%,26%
15,Rennes,25%,47%,28%
16,Montpellier,25%,49%,27%
17,Marseille,25%,47%,29%
18,Bordeaux,25%,48%,27%
19,Monaco,24%,48%,28%
20,Paris Saint-Germain,23%,47%,29%
