Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Paris Saint-Germain,108,16.4,616,62.6,89.6,9.5,7.16
2. Lyon,87,15.3,712,54.8,85.0,15.5,7.04
3. Marseille,80,16.4,813,27.0,84.2,16.1,6.99
4. Monaco,85,12.9,704,50.9,81.2,17.1,6.94
5. Montpellier,36,12.9,721,48.0,79.4,17.4,6.78
6. Bordeaux,53,12.4,732,50.4,80.9,15.9,6.77
7. Nice,53,12.8,804,56.3,87.5,10.8,6.77
8. Rennes,50,12.3,605,50.0,79.4,18.5,6.75
9. Saint-Etienne,47,11.1,718,50.8,80.8,17.3,6.74
10. Nantes,36,13.2,596,45.5,75.1,18.3,6.72
11. Guingamp,48,11.8,632,49.8,79.6,17.1,6.72
12. Amiens,37,9.5,705,45.2,73.6,17.5,6.71
13. Dijon,55,11.6,695,49.0,78.1,16.4,6.71
14. Toulouse,38,11.4,943,46.5,74.3,20.5,6.68
15. Lille,41,11.3,596,52.9,83.0,13.3,6.66
16. Strasbourg,44,11.9,714,49.2,77.7,18.9,6.65
17. Caen,27,12.1,684,46.2,75.0,22.4,6.65
18. Angers,42,12.2,683,17.7,77.1,16.3,6.62
19. Troyes,32,9.5,747,44.2,75.5,18.1,6.59
20. Metz,34,11.3,767,46.2,76.8,16.8,6.59
