R,Team,Left Side,Attempts from the middle,Right Side
1,Troyes,23%,59%,18%
2,Amiens,21%,59%,20%
3,Rennes,21%,59%,20%
4,Saint-Etienne,20%,64%,15%
5,Lyon,20%,58%,22%
6,Dijon,20%,65%,16%
7,Bordeaux,20%,61%,19%
8,Angers,20%,63%,18%
9,Toulouse,19%,65%,16%
10,Paris Saint-Germain,19%,65%,16%
11,Nice,19%,67%,15%
12,Guingamp,19%,63%,18%
13,Metz,19%,65%,16%
14,Montpellier,18%,63%,20%
15,Nantes,18%,67%,15%
16,Caen,18%,66%,15%
17,Strasbourg,17%,66%,18%
18,Lille,17%,60%,23%
19,Marseille,13%,69%,18%
20,Monaco,12%,66%,22%
