R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Metz,57,3,11,3,2
2,Strasbourg,50,1,10,6,0
3,Lille,44,2,13,5,3
4,Dijon,41,7,11,11,3
5,Troyes,40,4,10,4,1
6,Guingamp,40,5,8,5,1
7,Nice,36,4,6,3,3
8,Caen,34,3,6,5,4
9,Amiens,32,1,5,4,0
10,Toulouse,32,2,12,6,2
11,Saint-Etienne,30,4,9,6,1
12,Monaco,30,2,7,5,1
13,Angers,30,4,7,7,4
14,Bordeaux,29,2,12,4,1
15,Marseille,28,0,13,4,2
16,Rennes,27,3,7,5,2
17,Lyon,24,2,9,5,3
18,Nantes,24,4,9,3,1
19,Montpellier,19,2,7,5,0
20,Paris Saint-Germain,13,4,8,3,1
