R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,55,6,10,6,2
2,Wolfsburg,40,10,18,3,1
3,Bayer Leverkusen,39,9,14,0,0
4,Borussia M.Gladbach,34,6,10,3,0
5,Eintracht Frankfurt,31,6,14,3,2
6,Borussia Dortmund,30,6,8,2,1
7,Schalke 04,26,2,10,2,2
8,VfB Stuttgart,25,4,11,1,1
9,Augsburg,24,3,10,6,0
10,FC Koln,23,3,3,4,1
11,Hoffenheim,22,10,12,4,1
12,Freiburg,20,2,8,6,0
13,Hannover 96,20,2,14,2,2
14,Werder Bremen,18,6,22,3,1
15,Paderborn,18,4,7,1,1
16,Mainz 05,17,6,16,5,1
17,Hertha Berlin,14,6,11,4,1
18,Hamburger SV,10,2,7,3,3
