Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,17.2,6,1,10.2,7.20
2. Wolfsburg,15.3,6.5,1.3,7.5,7.14
3. Bayer Leverkusen,16.3,7.8,0.8,7.6,7.12
4. Borussia M.Gladbach,12.6,5,0.8,6.9,7.08
5. Hoffenheim,14.8,6.9,1,6.9,6.95
6. Schalke 04,12.4,4.5,0.8,7.1,6.92
7. Borussia Dortmund,16.7,6.9,0.8,9.1,6.92
8. Augsburg,13.5,6,0.6,6.8,6.90
9. Eintracht Frankfurt,12.6,4.6,0.8,7.2,6.88
10. Mainz 05,12.9,5.4,0.7,6.8,6.87
11. FC Koln,10.8,5.1,0.5,5.1,6.83
12. Werder Bremen,12.2,5.5,0.9,5.9,6.83
13. Hamburger SV,10.8,4.4,0.7,5.7,6.80
14. Paderborn,13.4,6.3,0.7,6.4,6.79
15. Freiburg,11.4,5.2,0.7,5.5,6.79
16. Hannover 96,11.3,4.1,0.7,6.4,6.78
17. VfB Stuttgart,12.1,5.1,0.9,6.1,6.77
18. Hertha Berlin,8.8,3.4,0.6,4.9,6.75
