Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Bayern Munich,77,17.2,362,65.7,87.5,18.7,7.20
2. Wolfsburg,74,15.3,441,54.0,79.6,27.6,7.14
3. Bayer Leverkusen,63,16.3,764,51.4,69.9,35.3,7.12
4. Borussia M.Gladbach,54,12.6,542,53.0,82.7,22.5,7.08
5. Hoffenheim,49,14.8,662,49.3,73.2,30.1,6.95
6. Schalke 04,41,12.4,644,50.6,77.0,26.9,6.92
7. Borussia Dortmund,47,16.7,540,53.3,76.7,28.7,6.92
8. Augsburg,43,13.5,613,51.8,75.1,30.1,6.90
9. Eintracht Frankfurt,55,12.6,843,49.5,73.3,28.3,6.88
10. Mainz 05,45,12.9,532,49.3,73.8,30.3,6.87
11. Werder Bremen,50,12.2,672,44.9,67.3,31.2,6.83
12. FC Koln,35,10.8,482,44.3,73.5,26.7,6.83
13. Hamburger SV,25,10.8,835,47.9,70.2,32.2,6.80
14. Freiburg,37,11.4,634,48.8,74.0,23.4,6.79
15. Paderborn,32,13.4,513,45.3,71.4,30.3,6.79
16. Hannover 96,40,11.3,725,50.4,73.9,36,6.78
17. VfB Stuttgart,42,12.1,575,48.0,73.9,24.9,6.77
18. Hertha Berlin,36,8.8,724,42.6,69.2,26.7,6.75
