R,Team,Left Side,Attempts from the middle,Right Side
1,Hamburger SV,24%,61%,15%
2,Freiburg,23%,56%,21%
3,Augsburg,23%,57%,20%
4,Werder Bremen,22%,61%,18%
5,Hertha Berlin,22%,64%,14%
6,Bayer Leverkusen,21%,60%,19%
7,Bayern Munich,21%,60%,19%
8,Schalke 04,21%,62%,18%
9,FC Koln,21%,55%,25%
10,Paderborn,21%,59%,19%
11,Wolfsburg,20%,63%,17%
12,Borussia M.Gladbach,20%,59%,21%
13,Borussia Dortmund,18%,64%,18%
14,Hoffenheim,18%,61%,21%
15,VfB Stuttgart,17%,62%,21%
16,Mainz 05,16%,69%,15%
17,Eintracht Frankfurt,15%,64%,22%
18,Hannover 96,15%,66%,19%
