R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bayern Munich,16,1,67,668
2,Borussia M.Gladbach,11,1,68,491
3,Borussia Dortmund,16,1,74,456
4,Wolfsburg,17,1,83,426
5,Schalke 04,12,0,74,392
6,Hannover 96,16,0,77,374
7,Augsburg,16,1,82,364
8,Hoffenheim,12,1,69,357
9,Bayer Leverkusen,13,1,69,352
10,Eintracht Frankfurt,16,1,70,351
11,Freiburg,12,0,74,347
12,Mainz 05,12,1,86,346
13,VfB Stuttgart,17,0,73,344
14,FC Koln,12,1,78,330
15,Hamburger SV,13,0,73,322
16,Paderborn,16,1,77,295
17,Werder Bremen,12,0,75,280
18,Hertha Berlin,14,1,78,271
