R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,FC Koln,17,0,75,481
2,Hertha Berlin,14,1,66,468
3,Paderborn,17,1,76,427
4,Borussia M.Gladbach,17,1,69,410
5,Werder Bremen,18,1,76,400
6,VfB Stuttgart,12,0,73,394
7,Freiburg,14,1,72,385
8,Mainz 05,15,1,80,377
9,Hamburger SV,15,1,78,376
10,Schalke 04,16,1,75,367
11,Eintracht Frankfurt,13,1,70,367
12,Hoffenheim,13,1,78,366
13,Borussia Dortmund,9,1,79,355
14,Hannover 96,15,1,82,354
15,Wolfsburg,14,1,70,351
16,Augsburg,14,0,74,336
17,Bayer Leverkusen,12,0,85,311
18,Bayern Munich,8,1,65,242
