R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Hamburger SV,9%,51%,40%
2,Eintracht Frankfurt,8%,55%,37%
3,Werder Bremen,8%,53%,38%
4,Paderborn,8%,52%,40%
5,Wolfsburg,7%,52%,41%
6,VfB Stuttgart,7%,52%,41%
7,Bayer Leverkusen,6%,58%,36%
8,Hertha Berlin,6%,53%,41%
9,Hannover 96,6%,50%,44%
10,Freiburg,6%,48%,45%
11,Augsburg,6%,53%,41%
12,Schalke 04,5%,47%,48%
13,Mainz 05,5%,53%,43%
14,Borussia M.Gladbach,5%,44%,51%
15,Hoffenheim,5%,56%,40%
16,FC Koln,4%,54%,41%
17,Bayern Munich,3%,52%,45%
18,Borussia Dortmund,3%,55%,42%
