R,Team,Own Third,Middle Third,Opposition Third
1,Freiburg,30%,43%,27%
2,Paderborn,30%,45%,25%
3,Hamburger SV,29%,47%,25%
4,Werder Bremen,29%,45%,27%
5,Augsburg,29%,45%,27%
6,Borussia M.Gladbach,29%,48%,23%
7,Hannover 96,28%,46%,26%
8,Mainz 05,28%,46%,26%
9,FC Koln,28%,48%,23%
10,Hertha Berlin,28%,48%,25%
11,Eintracht Frankfurt,28%,46%,26%
12,Schalke 04,27%,47%,25%
13,Wolfsburg,26%,48%,25%
14,Hoffenheim,26%,45%,29%
15,VfB Stuttgart,25%,47%,27%
16,Bayer Leverkusen,22%,44%,32%
17,Bayern Munich,21%,46%,32%
18,Borussia Dortmund,21%,48%,32%
