Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Bayern Munich,7.5,15.9,13.1,11.9,2.3,7.20
2. Wolfsburg,12.2,17.6,20.8,13.4,2.6,7.14
3. Bayer Leverkusen,8.8,21.3,21.1,17.9,3,7.12
4. Borussia M.Gladbach,15.4,18.1,16.9,12.2,1.8,7.08
5. Hoffenheim,13.4,24.6,19.1,17.7,2.4,6.95
6. Schalke 04,15.7,18.6,17.2,15.2,2.6,6.92
7. Borussia Dortmund,8.6,21.7,16.9,13.3,3.5,6.92
8. Augsburg,13.5,20,17,16.3,2.9,6.90
9. Eintracht Frankfurt,12.7,22.1,20,16.7,2.8,6.88
10. Mainz 05,14.2,16.9,17.7,14.6,2.9,6.87
11. Werder Bremen,14.8,20.1,21,17.3,2.1,6.83
12. FC Koln,13.8,19.1,13.1,12.4,2.3,6.83
13. Hamburger SV,14.6,22.2,18.5,18.2,2,6.80
14. Freiburg,15.4,17.5,15.6,14.5,2.3,6.79
15. Paderborn,14.5,20.6,20.2,14.2,2.1,6.79
16. Hannover 96,13.6,17.3,15.6,16.7,2.4,6.78
17. VfB Stuttgart,13.8,20.7,17.5,14.5,1.9,6.77
18. Hertha Berlin,12.6,21.9,18.1,17.3,2.6,6.75
