R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Paderborn,41,4,13,5,2
2,Werder Bremen,39,4,11,4,1
3,Eintracht Frankfurt,37,6,15,3,1
4,Hoffenheim,34,5,11,4,1
5,Hannover 96,33,4,16,2,1
6,VfB Stuttgart,29,9,16,4,1
7,Hertha Berlin,29,4,14,3,2
8,Mainz 05,27,2,13,4,1
9,Freiburg,27,8,9,2,1
10,Schalke 04,24,5,9,1,1
11,Hamburger SV,24,10,11,5,0
12,FC Koln,23,2,10,3,2
13,Wolfsburg,21,3,9,2,3
14,Borussia Dortmund,21,7,11,2,1
15,Augsburg,18,8,13,4,0
16,Bayer Leverkusen,14,3,13,6,1
17,Borussia M.Gladbach,14,4,4,3,1
18,Bayern Munich,7,5,6,0,0
