R,Team,Fouls,Unprofessional,Dive,Other
1,Auxerre,69,3,1,19
2,Caen,68,1,0,9
3,Toulouse,66,3,0,15
4,AC Ajaccio,65,14,4,21
5,Montpellier,58,4,1,15
6,Nice,58,5,2,12
7,Dijon,58,7,1,23
8,Thonon Evian Grand Geneve,58,6,3,23
9,Marseille,57,8,1,13
10,Paris Saint-Germain,56,4,3,22
11,Brest,55,4,3,16
12,Saint-Etienne,54,4,0,19
13,Lille,54,4,2,12
14,Lyon,52,2,2,12
15,Valenciennes,51,2,1,19
16,Lorient,47,6,2,16
17,Rennes,47,5,2,17
18,Nancy,46,2,1,13
19,Bordeaux,45,4,4,15
20,Sochaux,39,3,1,14
