Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Montpellier,15.7,7.5,0.1,8.1,6.99
2. Paris Saint-Germain,14,5,0,9,6.95
3. Lille,14.7,6.1,0,8.6,6.92
4. Toulouse,12.3,5.9,0,6.4,6.91
5. Marseille,15.5,6.8,0.1,8.6,6.88
6. Rennes,14.5,6.6,0,7.8,6.87
7. Bordeaux,12.3,5.2,0,7.1,6.82
8. Saint-Etienne,12.8,4.9,0.1,7.8,6.81
9. Lyon,13.8,6.1,0.1,7.6,6.77
10. Brest,11.1,5.9,0,5.2,6.77
11. Nancy,11.7,6.2,0,5.5,6.76
12. Lorient,11.6,5,0.1,6.6,6.75
13. Nice,12.8,6.1,0,6.7,6.75
14. Auxerre,11.8,5,0,6.8,6.73
15. Thonon Evian Grand Geneve,10.3,4.6,0,5.8,6.70
16. Caen,11.1,5.1,0,6,6.69
17. Sochaux,10.1,4.9,0,5.1,6.69
18. Valenciennes,13,5.1,0.1,7.9,6.67
19. Dijon,10.6,5.2,0,5.4,6.66
20. AC Ajaccio,9.6,4.2,0.1,5.3,6.64
