R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Nancy,28,2,68,437
2,Auxerre,23,3,63,399
3,Sochaux,21,4,65,370
4,Caen,23,2,59,370
5,Dijon,23,2,64,367
6,Lorient,21,2,68,363
7,Nice,20,2,60,361
8,Brest,25,2,61,352
9,AC Ajaccio,27,2,61,352
10,Thonon Evian Grand Geneve,24,2,58,347
11,Montpellier,18,2,53,335
12,Valenciennes,18,3,60,332
13,Paris Saint-Germain,24,1,57,331
14,Bordeaux,18,3,63,329
15,Saint-Etienne,19,2,64,318
16,Lyon,21,2,58,312
17,Rennes,20,3,57,308
18,Toulouse,20,3,59,297
19,Marseille,19,3,58,289
20,Lille,15,2,59,280
