R,Team,Left Side,Attempts from the middle,Right Side
1,Lorient,23%,57%,20%
2,Marseille,23%,60%,17%
3,SC Bastia,22%,61%,17%
4,Thonon Evian Grand Geneve,21%,60%,19%
5,Saint-Etienne,20%,61%,20%
6,Lille,20%,63%,17%
7,AC Ajaccio,20%,59%,21%
8,Valenciennes,20%,61%,18%
9,Monaco,19%,63%,18%
10,Montpellier,19%,62%,19%
11,Rennes,19%,59%,22%
12,Guingamp,19%,64%,17%
13,Lyon,18%,66%,17%
14,Toulouse,18%,62%,19%
15,Bordeaux,18%,66%,15%
16,Nantes,17%,64%,19%
17,Paris Saint-Germain,17%,67%,16%
18,Reims,16%,62%,22%
19,Sochaux,15%,63%,23%
20,Nice,15%,61%,24%
