R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,AC Ajaccio,49,3,15,4,1
2,Sochaux,42,1,11,6,1
3,SC Bastia,39,4,10,3,2
4,Valenciennes,39,3,16,3,4
5,Lorient,36,0,12,3,2
6,Thonon Evian Grand Geneve,36,3,9,2,1
7,Toulouse,31,2,10,10,0
8,Rennes,31,1,8,4,1
9,Reims,31,0,13,2,5
10,Montpellier,30,2,16,4,1
11,Nice,29,3,5,4,3
12,Lyon,28,4,8,4,0
13,Marseille,27,1,10,2,0
14,Bordeaux,27,2,13,1,0
15,Guingamp,26,1,13,2,0
16,Nantes,24,1,12,5,1
17,Saint-Etienne,23,2,6,3,0
18,Monaco,19,2,8,1,1
19,Lille,17,2,4,2,1
20,Paris Saint-Germain,12,1,5,2,3
