R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Lorient,19,2,67,415
2,SC Bastia,21,2,64,415
3,Nantes,23,2,64,410
4,Rennes,27,1,57,408
5,AC Ajaccio,26,2,61,388
6,Montpellier,22,1,65,387
7,Valenciennes,22,1,60,382
8,Thonon Evian Grand Geneve,23,2,64,380
9,Guingamp,22,1,65,379
10,Sochaux,20,1,66,372
11,Reims,26,1,59,354
12,Saint-Etienne,21,1,65,345
13,Lille,18,1,61,338
14,Bordeaux,20,1,59,334
15,Monaco,20,1,59,332
16,Marseille,22,1,61,332
17,Nice,19,2,57,331
18,Lyon,20,1,62,315
19,Toulouse,21,1,62,313
20,Paris Saint-Germain,18,0,49,293
