R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Paris Saint-Germain,49,4,17,9,4
2,Lyon,44,3,8,1,0
3,Monaco,42,1,15,4,1
4,Marseille,40,1,10,2,0
5,Saint-Etienne,35,0,16,4,1
6,Toulouse,34,1,6,3,2
7,Rennes,34,3,8,2,0
8,Bordeaux,33,2,8,6,0
9,Lorient,31,2,7,6,2
10,Montpellier,31,1,9,3,1
11,Reims,27,2,11,3,1
12,Nantes,26,2,8,0,4
13,SC Bastia,25,2,12,3,0
14,Lille,24,4,10,5,3
15,AC Ajaccio,23,1,12,0,1
16,Thonon Evian Grand Geneve,22,3,10,4,0
17,Sochaux,20,0,13,2,2
18,Guingamp,20,1,7,4,2
19,Valenciennes,19,4,8,4,2
20,Nice,17,1,9,2,1
