R,Team,Left Side,Attempts from the middle,Right Side
1,Lorient,23%,59%,18%
2,Marseille,23%,62%,15%
3,Lyon,22%,58%,19%
4,Lille,22%,62%,17%
5,Montpellier,22%,59%,19%
6,Saint-Etienne,20%,63%,17%
7,Guingamp,20%,60%,19%
8,SC Bastia,20%,61%,20%
9,Nantes,20%,62%,18%
10,Nice,19%,64%,17%
11,Reims,19%,59%,21%
12,Sochaux,18%,64%,18%
13,Paris Saint-Germain,18%,63%,19%
14,Thonon Evian Grand Geneve,18%,66%,16%
15,Toulouse,17%,62%,21%
16,Valenciennes,17%,65%,18%
17,Monaco,16%,68%,16%
18,Bordeaux,16%,63%,22%
19,AC Ajaccio,16%,65%,19%
20,Rennes,15%,60%,25%
