R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Paris Saint-Germain,11%,57%,32%
2,Bordeaux,9%,46%,45%
3,Sochaux,8%,46%,45%
4,Lyon,7%,42%,51%
5,Toulouse,7%,57%,37%
6,Monaco,7%,48%,45%
7,SC Bastia,7%,44%,49%
8,Rennes,7%,52%,41%
9,Nice,7%,44%,49%
10,Marseille,6%,51%,43%
11,Nantes,6%,51%,42%
12,Montpellier,6%,51%,43%
13,Guingamp,6%,55%,39%
14,Valenciennes,6%,47%,47%
15,Thonon Evian Grand Geneve,6%,48%,46%
16,Saint-Etienne,5%,51%,43%
17,Lille,5%,47%,47%
18,Lorient,4%,50%,47%
19,AC Ajaccio,4%,45%,51%
20,Reims,3%,51%,46%
