R,Team,Left Side,Middle of the pitch,Right Side
1,Marseille,44%,23%,33%
2,Saint-Etienne,40%,24%,36%
3,Lorient,38%,25%,37%
4,Valenciennes,38%,24%,39%
5,Thonon Evian Grand Geneve,38%,24%,38%
6,Sochaux,37%,21%,42%
7,Nantes,37%,24%,38%
8,Paris Saint-Germain,37%,30%,33%
9,Montpellier,37%,24%,39%
10,Nice,37%,25%,38%
11,Bordeaux,36%,29%,35%
12,Guingamp,36%,28%,36%
13,AC Ajaccio,36%,27%,37%
14,Lyon,35%,28%,37%
15,SC Bastia,35%,27%,39%
16,Lille,35%,25%,40%
17,Rennes,34%,26%,40%
18,Reims,34%,22%,45%
19,Toulouse,33%,24%,43%
20,Monaco,32%,29%,39%
