Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Paris Saint-Germain,83,15.7,611,61.8,88.8,13.3,7.10
2. Monaco,63,14,640,55.0,82.6,14.6,7.01
3. Lille,45,13.1,556,52.8,79.6,18.5,6.96
4. Saint-Etienne,56,12.9,682,50.3,78.5,20.8,6.95
5. Marseille,53,13.7,600,51.7,81.7,16.2,6.91
6. Bordeaux,49,12,516,51.6,78.9,19.6,6.90
7. Lyon,56,13,557,53.5,81.6,16.2,6.87
8. Toulouse,46,11.6,775,53.8,80.2,15.8,6.84
9. Reims,48,11.6,583,49.9,75.7,17.9,6.84
10. Nantes,40,10.8,544,46.2,75.4,16.4,6.81
11. Montpellier,45,11.6,6014,47.3,75.3,18.1,6.81
12. Rennes,48,10.4,494,48.3,79.2,13.2,6.81
13. Lorient,48,11.7,486,47.4,77.7,14.5,6.75
14. Thonon Evian Grand Geneve,39,10.7,675,46.9,73.6,16.6,6.75
15. Guingamp,34,11.6,655,46.3,72.9,17.7,6.74
16. Nice,30,9.7,585,52.8,80.0,15.6,6.73
17. Sochaux,37,11.3,715,46.2,71.3,21.8,6.70
18. Valenciennes,39,11.2,612,46.8,76.5,13.9,6.68
19. SC Bastia,42,10.5,646,46.4,76.5,14.7,6.67
20. AC Ajaccio,35,8.8,674,44.9,74.2,16.2,6.62
