R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Paris Saint-Germain,21,2,62,576
2,Monaco,24,4,52,452
3,Toulouse,24,2,52,415
4,Lille,23,2,60,392
5,Lyon,21,1,62,390
6,Nice,23,1,61,388
7,Lorient,19,1,65,370
8,Rennes,18,1,57,370
9,Bordeaux,25,1,73,364
10,Marseille,25,1,63,361
11,Saint-Etienne,23,0,62,344
12,Reims,19,1,61,343
13,SC Bastia,18,1,65,337
14,Montpellier,19,1,64,320
15,Nantes,21,2,59,317
16,Thonon Evian Grand Geneve,17,1,73,304
17,Valenciennes,24,1,62,302
18,Guingamp,27,1,56,295
19,AC Ajaccio,16,1,59,294
20,Sochaux,24,1,61,290
