R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,AC Ajaccio,11%,49%,40%
2,Bordeaux,9%,49%,42%
3,Valenciennes,8%,51%,41%
4,Saint-Etienne,7%,48%,45%
5,Toulouse,7%,45%,48%
6,Monaco,7%,48%,45%
7,Nantes,7%,51%,42%
8,Thonon Evian Grand Geneve,7%,54%,39%
9,Sochaux,6%,49%,45%
10,Lorient,6%,43%,52%
11,Lyon,6%,56%,39%
12,Nice,6%,53%,41%
13,SC Bastia,6%,48%,46%
14,Lille,6%,53%,41%
15,Reims,6%,46%,49%
16,Rennes,6%,51%,43%
17,Montpellier,6%,50%,45%
18,Guingamp,5%,51%,44%
19,Marseille,5%,51%,45%
20,Paris Saint-Germain,4%,44%,53%
