Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Paris Saint-Germain,9.7,18.5,14.6,11.9,3.4,7.10
2. Monaco,9.8,19.7,15.9,14.1,2.1,7.01
3. Lille,9,18.6,15.6,14.1,2.9,6.96
4. Saint-Etienne,10.2,19.1,12.4,14.4,2.1,6.95
5. Marseille,10.2,19,12.8,13.9,2.2,6.91
6. Bordeaux,10.4,20.8,14.8,13.2,2.4,6.90
7. Lyon,10,18.5,11.6,14.6,1.9,6.87
8. Toulouse,12.2,21.9,17.9,13.6,2.5,6.84
9. Reims,14.8,19.1,17.7,13.9,1.6,6.84
10. Nantes,11.3,21.7,16.1,14.1,2.2,6.81
11. Montpellier,11.9,19.8,16.1,12.7,2.5,6.81
12. Rennes,14.9,19,14.7,11.6,1.7,6.81
13. Lorient,11.7,18.5,15.8,11.7,2.2,6.75
14. Thonon Evian Grand Geneve,12.1,19.6,17.6,14,2.1,6.75
15. Guingamp,12.7,18.6,17.5,14.6,2.9,6.74
16. Nice,12.7,19.4,15.6,13.3,1.9,6.73
17. Sochaux,13.3,18,16,15,2.4,6.70
18. Valenciennes,11.7,19.2,14.6,14.3,1.9,6.68
19. SC Bastia,11.9,17.2,14.2,13.5,2.2,6.67
20. AC Ajaccio,15.3,18.7,14,15.7,2.4,6.62
