R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bayern Munich,74,5,10,9,1
2,Borussia Dortmund,53,5,13,3,1
3,Wolfsburg,41,4,10,2,4
4,Eintracht Frankfurt,39,3,13,8,6
5,RB Leipzig,37,2,12,8,1
6,Borussia M.Gladbach,36,3,14,10,1
7,Hoffenheim,32,6,8,5,1
8,Bayer Leverkusen,31,8,10,3,1
9,VfB Stuttgart,31,7,10,6,2
10,Freiburg,30,5,10,6,1
11,Hertha Berlin,28,5,3,4,1
12,Union Berlin,28,2,15,5,0
13,Mainz 05,27,1,6,5,0
14,Werder Bremen,23,1,6,5,1
15,Augsburg,23,5,5,2,1
16,FC Koln,22,0,7,4,1
17,Schalke 04,18,1,5,0,1
18,Arminia Bielefeld,14,3,5,1,3
