R,Team,Left Side,Middle of the pitch,Right Side
1,Union Berlin,42%,24%,34%
2,Bayern Munich,39%,26%,36%
3,Schalke 04,38%,27%,35%
4,Mainz 05,38%,28%,35%
5,Hertha Berlin,38%,25%,37%
6,Borussia Dortmund,38%,24%,38%
7,Eintracht Frankfurt,38%,28%,34%
8,RB Leipzig,38%,29%,34%
9,VfB Stuttgart,37%,28%,35%
10,FC Koln,37%,23%,41%
11,Augsburg,36%,24%,40%
12,Freiburg,35%,27%,38%
13,Hoffenheim,35%,25%,39%
14,Wolfsburg,34%,28%,38%
15,Borussia M.Gladbach,34%,29%,37%
16,Werder Bremen,34%,28%,38%
17,Bayer Leverkusen,33%,28%,39%
18,Arminia Bielefeld,33%,28%,40%
