R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Borussia Dortmund,16,1,58,563
2,Bayern Munich,24,1,57,544
3,RB Leipzig,19,1,51,538
4,Bayer Leverkusen,20,1,66,530
5,Borussia M.Gladbach,17,1,54,467
6,Eintracht Frankfurt,23,1,59,439
7,VfB Stuttgart,16,1,51,433
8,Hoffenheim,19,0,62,427
9,Wolfsburg,19,1,65,400
10,Hertha Berlin,17,0,65,370
11,Freiburg,19,0,65,364
12,Union Berlin,19,0,68,361
13,Werder Bremen,16,0,61,359
14,FC Koln,19,0,67,358
15,Schalke 04,13,1,58,341
16,Arminia Bielefeld,14,0,73,321
17,Augsburg,15,1,67,315
18,Mainz 05,18,1,61,302
