R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Schalke 04,46,5,23,7,5
2,VfB Stuttgart,39,3,7,5,1
3,FC Koln,39,4,9,8,0
4,Arminia Bielefeld,37,2,7,5,1
5,Eintracht Frankfurt,36,3,8,4,2
6,Freiburg,36,3,7,4,2
7,Borussia M.Gladbach,35,7,8,6,0
8,Mainz 05,35,4,10,6,1
9,Augsburg,35,5,5,6,3
10,Werder Bremen,34,4,12,4,3
11,Hertha Berlin,32,0,12,7,1
12,Hoffenheim,32,7,7,6,2
13,Bayern Munich,29,3,11,1,0
14,Bayer Leverkusen,26,6,4,1,2
15,Union Berlin,26,3,8,4,2
16,Wolfsburg,24,2,7,3,1
17,Borussia Dortmund,24,4,11,6,1
18,RB Leipzig,22,1,6,3,0
