R,Team,Left Side,Attempts from the middle,Right Side
1,Hoffenheim,20%,66%,14%
2,Bayer Leverkusen,19%,67%,13%
3,Bayern Munich,19%,67%,14%
4,Arminia Bielefeld,19%,68%,13%
5,Mainz 05,18%,69%,13%
6,Hertha Berlin,17%,68%,15%
7,Augsburg,17%,70%,14%
8,RB Leipzig,17%,67%,15%
9,VfB Stuttgart,16%,69%,15%
10,Borussia M.Gladbach,16%,68%,16%
11,Borussia Dortmund,16%,68%,16%
12,Werder Bremen,16%,70%,14%
13,FC Koln,16%,72%,12%
14,Schalke 04,15%,71%,14%
15,Freiburg,15%,68%,17%
16,Eintracht Frankfurt,15%,68%,17%
17,Union Berlin,15%,68%,16%
18,Wolfsburg,14%,74%,13%
