Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Bayern Munich,17.1,6.9,12.9,11,6.95
2. Borussia Dortmund,14.6,5.7,11.8,11,6.84
3. Wolfsburg,14.1,4.9,8.7,11.1,6.80
4. RB Leipzig,16,6,9.3,11.9,6.78
5. Bayer Leverkusen,13,4.9,12.5,9.9,6.73
6. Eintracht Frankfurt,13.2,5.1,8.1,10.8,6.73
7. Borussia M.Gladbach,13.4,5.2,9.4,12.1,6.70
8. VfB Stuttgart,13.4,4.7,12.1,12.8,6.68
9. Hoffenheim,12.6,4.6,8.2,12,6.63
10. Union Berlin,11.7,4.2,6.1,11,6.62
11. Freiburg,11.4,4.4,6.8,11.8,6.60
12. Hertha Berlin,11.3,4.4,9.7,12.6,6.58
13. Mainz 05,11.1,4.1,7.9,11.1,6.57
14. Augsburg,9.9,3.3,8.3,11.9,6.56
15. Arminia Bielefeld,9.8,3,6.9,12.3,6.53
16. Werder Bremen,10.6,3.7,5.5,13.7,6.52
17. FC Koln,10.6,3.2,7,12.6,6.51
18. Schalke 04,8.9,2.5,9.8,11.9,6.41
