Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Bayern Munich,17.1,5.7,1.3,10.1,6.95
2. Borussia Dortmund,14.6,4.4,1.1,9.1,6.84
3. Wolfsburg,14.1,5.6,0.6,7.9,6.80
4. RB Leipzig,16,5.6,1,9.4,6.78
5. Eintracht Frankfurt,13.2,3.9,1.3,8.1,6.73
6. Bayer Leverkusen,13,4.7,1.1,7.3,6.73
7. Borussia M.Gladbach,13.4,4.2,0.8,8.4,6.70
8. VfB Stuttgart,13.4,4.4,0.5,8.5,6.68
9. Hoffenheim,12.6,4.4,0.9,7.4,6.63
10. Union Berlin,11.7,3.7,0.9,7.1,6.62
11. Freiburg,11.4,3.7,0.9,6.9,6.60
12. Hertha Berlin,11.3,4.2,0.5,6.5,6.58
13. Mainz 05,11.1,3.9,0.9,6.3,6.57
14. Augsburg,9.9,3.6,0.9,5.4,6.56
15. Arminia Bielefeld,9.8,4,0.6,5.2,6.53
16. Werder Bremen,10.6,4.5,0.6,5.6,6.52
17. FC Koln,10.6,3.7,1.2,5.6,6.51
18. Schalke 04,8.9,3.5,0.4,5,6.41
