R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Arminia Bielefeld,21,1,66,482
2,Mainz 05,19,0,71,481
3,Augsburg,25,1,63,480
4,Werder Bremen,22,0,61,479
5,Union Berlin,16,0,64,475
6,FC Koln,18,1,60,447
7,Schalke 04,20,1,56,443
8,Freiburg,18,0,59,431
9,Borussia M.Gladbach,18,1,59,424
10,Hoffenheim,17,1,63,407
11,VfB Stuttgart,20,0,62,392
12,Hertha Berlin,19,0,57,392
13,Wolfsburg,18,1,62,379
14,Eintracht Frankfurt,18,1,67,359
15,Borussia Dortmund,14,0,54,359
16,Bayer Leverkusen,15,1,60,338
17,Bayern Munich,13,1,59,332
18,RB Leipzig,13,0,63,329
