R,Team,Left Side,Attempts from the middle,Right Side
1,Borussia Dortmund,22%,66%,11%
2,Augsburg,21%,64%,15%
3,Bayer Leverkusen,18%,63%,19%
4,Werder Bremen,18%,65%,17%
5,RB Leipzig,18%,73%,10%
6,Borussia M.Gladbach,17%,69%,14%
7,Hertha Berlin,17%,68%,15%
8,Union Berlin,17%,72%,12%
9,Wolfsburg,16%,70%,15%
10,Schalke 04,16%,68%,16%
11,Freiburg,16%,70%,14%
12,FC Koln,16%,66%,19%
13,Eintracht Frankfurt,16%,71%,13%
14,Bayern Munich,15%,69%,16%
15,Mainz 05,15%,70%,15%
16,VfB Stuttgart,14%,69%,17%
17,Arminia Bielefeld,14%,71%,15%
18,Hoffenheim,12%,75%,13%
