R,Team,Own Third,Middle Third,Opposition Third
1,Schalke 04,32%,46%,23%
2,Augsburg,31%,45%,24%
3,Arminia Bielefeld,30%,44%,26%
4,FC Koln,30%,45%,25%
5,Werder Bremen,30%,47%,23%
6,Hertha Berlin,29%,45%,25%
7,Freiburg,29%,43%,28%
8,VfB Stuttgart,28%,44%,28%
9,Mainz 05,28%,44%,28%
10,Borussia M.Gladbach,27%,46%,27%
11,Hoffenheim,27%,44%,28%
12,Union Berlin,27%,48%,25%
13,Wolfsburg,26%,44%,29%
14,Eintracht Frankfurt,26%,45%,29%
15,Bayer Leverkusen,25%,46%,29%
16,Borussia Dortmund,25%,45%,30%
17,Bayern Munich,23%,42%,35%
18,RB Leipzig,23%,47%,31%
