R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Newcastle United,11%,54%,35%
2,Watford,10%,56%,34%
3,Huddersfield,9%,56%,35%
4,Bournemouth,9%,53%,39%
5,Arsenal,8%,57%,35%
6,Southampton,8%,49%,43%
7,Brighton,8%,46%,45%
8,Manchester City,8%,52%,40%
9,Swansea,8%,53%,39%
10,Liverpool,7%,58%,35%
11,Everton,7%,49%,44%
12,West Ham,7%,50%,43%
13,Manchester United,7%,53%,39%
14,Tottenham,7%,58%,34%
15,Crystal Palace,7%,55%,38%
16,Stoke,7%,55%,38%
17,West Bromwich Albion,7%,49%,45%
18,Leicester,6%,53%,42%
19,Chelsea,5%,53%,43%
20,Burnley,5%,53%,42%
