R,Team,Left Side,Middle of the pitch,Right Side
1,Brighton,42%,22%,36%
2,Leicester,41%,26%,33%
3,Southampton,40%,26%,33%
4,Watford,40%,26%,34%
5,Crystal Palace,39%,27%,34%
6,Bournemouth,39%,25%,35%
7,Manchester United,38%,27%,35%
8,West Ham,38%,25%,37%
9,Manchester City,38%,28%,33%
10,Huddersfield,37%,22%,42%
11,Stoke,37%,27%,36%
12,West Bromwich Albion,37%,25%,39%
13,Arsenal,36%,32%,32%
14,Burnley,36%,28%,35%
15,Newcastle United,35%,28%,37%
16,Tottenham,35%,31%,34%
17,Liverpool,34%,30%,36%
18,Everton,34%,25%,40%
19,Swansea,33%,25%,42%
20,Chelsea,32%,31%,37%
