R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,West Bromwich Albion,21,2,69,469
2,Swansea,21,2,63,468
3,Brighton,21,1,61,462
4,Newcastle United,21,1,73,459
5,Stoke,22,2,64,442
6,Huddersfield,17,2,67,436
7,West Ham,20,2,61,428
8,Crystal Palace,21,1,65,416
9,Everton,21,1,68,414
10,Burnley,23,1,73,408
11,Bournemouth,21,2,76,396
12,Chelsea,17,1,65,390
13,Leicester,20,1,64,385
14,Manchester United,17,1,57,375
15,Southampton,19,1,65,370
16,Watford,18,2,68,364
17,Liverpool,13,1,70,325
18,Arsenal,18,2,63,317
19,Tottenham,16,2,71,278
20,Manchester City,10,1,61,230
