R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,West Bromwich Albion,11%,51%,39%
2,Leicester,9%,52%,38%
3,Manchester United,9%,50%,42%
4,Brighton,9%,51%,40%
5,Southampton,8%,53%,39%
6,West Ham,8%,55%,38%
7,Newcastle United,8%,45%,47%
8,Stoke,8%,52%,40%
9,Manchester City,8%,53%,38%
10,Swansea,8%,49%,43%
11,Burnley,8%,57%,35%
12,Arsenal,7%,55%,38%
13,Everton,7%,57%,36%
14,Watford,7%,55%,38%
15,Liverpool,7%,54%,39%
16,Crystal Palace,7%,56%,37%
17,Chelsea,6%,53%,41%
18,Tottenham,6%,51%,43%
19,Huddersfield,6%,51%,43%
20,Bournemouth,6%,53%,42%
