R,Team,Fouls,Unprofessional,Dive,Other
1,West Bromwich Albion,55,2,0,17
2,West Ham,54,5,0,17
3,Crystal Palace,53,4,0,15
4,Huddersfield,52,3,0,12
5,Watford,48,4,0,16
6,Burnley,48,4,0,13
7,Leicester,46,4,0,11
8,Everton,46,2,0,8
9,Manchester United,45,6,0,14
10,Stoke,43,9,0,11
11,Arsenal,42,2,0,15
12,Southampton,42,2,0,22
13,Brighton,42,1,0,13
14,Bournemouth,42,1,0,14
15,Manchester City,42,5,0,16
16,Newcastle United,40,3,0,12
17,Tottenham,36,5,0,12
18,Liverpool,33,5,0,7
19,Swansea,32,4,0,16
20,Chelsea,30,2,0,16
