Team,Goals,Shots pg,Discipline,Possession%,Pass%,AerialsWon,Rating
1. Manchester City,75,18.2,361,67.9,89.6,12.2,7.09
2. Liverpool,83,18.6,411,62.3,84.5,15.6,7.07
3. Chelsea,66,14.6,511,60.8,86.5,14.7,6.93
4. Tottenham,56,12.7,571,51.8,84.9,14.9,6.83
5. West Ham,52,12.4,402,47.7,80.2,17.5,6.76
6. Manchester United,52,13.8,642,52.0,82.5,14.8,6.73
7. Wolverhampton Wanderers,33,10.5,532,49.7,80.9,12.9,6.73
8. Arsenal,49,15.5,473,52.3,82.9,12.9,6.72
9. Crystal Palace,43,10.5,521,50.2,80.4,15.7,6.70
10. Leicester,47,11.6,441,50.7,81.0,14.4,6.68
11. Aston Villa,42,12,682,46.5,79.8,14.6,6.67
12. Southampton,38,12.9,582,47.8,76.9,17.7,6.66
13. Burnley,28,10.4,581,38.7,68.6,22.8,6.66
14. Brighton,29,12.5,682,55.2,82.2,14.9,6.65
15. Brentford,41,11.1,542,43.8,72.8,19.4,6.64
16. Newcastle United,37,12.2,732,38.8,74.4,18.1,6.59
17. Everton,34,11.8,654,40.8,74.1,16.7,6.59
18. Leeds,38,13.4,911,54.0,78.5,12.6,6.57
19. Watford,30,10.8,542,40.3,72.7,19.5,6.54
20. Norwich,22,10.1,471,42.5,77.0,14,6.46
