Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Manchester City,18.2,6.7,11.1,8.7,7.09
2. Liverpool,18.6,6.9,8.8,7.6,7.07
3. Chelsea,14.6,5.5,9.3,10.7,6.93
4. Tottenham,12.7,5,10.1,10.7,6.83
5. West Ham,12.4,4.3,8.5,7.3,6.76
6. Manchester United,13.8,5,10.2,8.2,6.73
7. Wolverhampton Wanderers,10.5,3.6,11.8,9.2,6.73
8. Arsenal,15.5,5,8.5,9.3,6.72
9. Crystal Palace,10.5,3.6,9.8,12.4,6.70
10. Leicester,11.6,4.3,8.1,10.8,6.68
11. Aston Villa,12,4.1,9.3,13.5,6.67
12. Southampton,12.9,4.7,9.8,9.6,6.66
13. Burnley,10.4,3,7.2,8.4,6.66
14. Brighton,12.5,3.6,8.5,9.4,6.65
15. Brentford,11.1,4,6.9,9.8,6.64
16. Newcastle United,12.2,3.8,9.5,9.8,6.59
17. Everton,11.8,3.6,9.1,10.6,6.59
18. Leeds,13.4,4.3,9.6,9.8,6.57
19. Watford,10.8,3.6,10.5,9.3,6.54
20. Norwich,10.1,3,7.8,11.8,6.46
