R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Leicester,10%,60%,30%
2,Southampton,10%,56%,34%
3,Newcastle United,10%,54%,37%
4,Norwich,10%,55%,35%
5,Wolverhampton Wanderers,9%,56%,35%
6,Liverpool,9%,58%,33%
7,Crystal Palace,9%,52%,39%
8,Brentford,9%,51%,39%
9,Arsenal,8%,52%,40%
10,West Ham,8%,58%,35%
11,Watford,8%,56%,36%
12,Leeds,7%,54%,39%
13,Aston Villa,7%,57%,36%
14,Manchester United,7%,55%,38%
15,Tottenham,7%,57%,36%
16,Everton,7%,53%,39%
17,Manchester City,7%,59%,33%
18,Burnley,7%,59%,34%
19,Chelsea,6%,57%,37%
20,Brighton,6%,55%,38%
