R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Manchester City,23,2,49,643
2,Liverpool,23,3,56,564
3,Chelsea,19,2,48,548
4,Tottenham,16,3,44,462
5,Brighton,20,2,58,454
6,Manchester United,18,2,51,453
7,Arsenal,17,2,51,432
8,Leicester,14,2,55,428
9,Wolverhampton Wanderers,15,1,61,405
10,Crystal Palace,17,1,60,400
11,Leeds,18,2,56,392
12,West Ham,22,1,57,381
13,Southampton,19,1,55,354
14,Aston Villa,18,2,49,345
15,Norwich,16,1,58,325
16,Brentford,16,1,63,322
17,Everton,18,1,58,300
18,Watford,16,1,64,287
19,Newcastle United,16,1,60,271
20,Burnley,21,1,72,255
