R,Team,Cross pg,Through Ball pg,Long Balls pg,Short Passes pg
1,Bologna,29,6,62,394
2,Livorno,24,6,63,388
3,Chievo,26,4,73,385
4,Bari,26,5,56,366
5,Catania,25,4,70,365
6,Robur Siena,26,5,70,361
7,Cagliari,26,5,67,355
8,Palermo FC,31,4,66,344
9,Sampdoria,26,6,63,342
10,Lazio,24,5,66,339
11,Roma,28,6,64,334
12,Udinese,23,5,59,333
13,Parma Calcio 1913,28,5,62,332
14,Genoa,21,5,56,326
15,Atalanta,24,5,67,314
16,Fiorentina,20,5,69,308
17,Napoli,22,4,64,306
18,Inter,22,6,57,304
19,Juventus,21,4,65,291
20,AC Milan,21,5,55,286
