R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Robur Siena,8%,50%,42%
2,Bologna,7%,43%,50%
3,Fiorentina,7%,46%,46%
4,Roma,7%,48%,45%
5,Napoli,7%,38%,55%
6,Atalanta,7%,45%,48%
7,Bari,6%,40%,54%
8,AC Milan,6%,39%,55%
9,Parma Calcio 1913,6%,47%,47%
10,Livorno,6%,48%,46%
11,Juventus,6%,44%,49%
12,Cagliari,5%,41%,54%
13,Lazio,5%,40%,55%
14,Genoa,5%,45%,50%
15,Sampdoria,5%,52%,43%
16,Catania,5%,49%,46%
17,Udinese,5%,40%,55%
18,Palermo FC,4%,43%,52%
19,Chievo,4%,46%,49%
20,Inter,3%,39%,58%
