Team,Total,OutOfBox,SixYardBox,PenaltyArea,Rating
1. Inter,16.5,8.7,1,6.8,7.09
2. Roma,16.2,7.8,0.9,7.5,7.07
3. AC Milan,13.6,5.9,0.9,6.7,7.04
4. Napoli,14.7,6.7,0.9,7.2,6.96
5. Udinese,15,7.2,0.7,7.1,6.94
6. Palermo FC,14.9,7,0.9,7.1,6.92
7. Genoa,11.1,5,0.7,5.5,6.91
8. Cagliari,10.9,4.9,0.7,5.3,6.91
9. Bari,11.1,5.1,0.5,5.5,6.89
10. Parma Calcio 1913,12.3,6.1,0.7,5.5,6.88
11. Lazio,15.7,9.3,0.7,5.8,6.88
12. Sampdoria,11.6,5.8,0.9,4.9,6.87
13. Juventus,15.3,7.2,0.8,7.4,6.84
14. Chievo,12,5,1.2,5.9,6.84
15. Catania,11.6,5.9,0.5,5.2,6.84
16. Fiorentina,16.6,8.4,0.9,7.3,6.83
17. Bologna,10,5.2,0.5,4.3,6.78
18. Atalanta,13.9,7.3,0.5,6.2,6.77
19. Robur Siena,13.2,7.1,0.8,5.3,6.74
20. Livorno,13,7.7,0.6,4.7,6.70
