Team,Shots pg,Tackles pg,Interceptions pg,Fouls pg,Offsides pg,Rating
1. Inter,12.6,21.8,19.7,16.7,2.7,7.09
2. Roma,12.5,21.4,20.9,15.8,2.4,7.07
3. AC Milan,13.5,19.6,19.2,15.3,2.8,7.04
4. Napoli,11.4,21.5,19.4,18.1,2.9,6.96
5. Udinese,14.5,21,19.9,17.2,3.7,6.94
6. Palermo FC,16.9,19.5,16.6,15.8,3.7,6.92
7. Cagliari,14.5,23.2,17.9,16.9,2.8,6.91
8. Genoa,13.4,24.8,19.3,20,2.4,6.91
9. Bari,15.2,21.2,17.5,16.6,3.7,6.89
10. Lazio,12.7,19.1,19.4,18.5,2.1,6.88
11. Parma Calcio 1913,14,23.6,20.8,19.1,2.7,6.88
12. Sampdoria,12.3,19.4,19.6,15.9,1.8,6.87
13. Juventus,11.1,19.6,18.4,18.9,4.4,6.84
14. Chievo,13.3,22.3,23.9,20.4,4.2,6.84
15. Catania,13.8,21.3,20.6,20.4,3.3,6.84
16. Fiorentina,11.3,20.4,16.7,18.3,3.4,6.83
17. Bologna,16.1,18.9,20.4,18.6,3.4,6.78
18. Atalanta,12.9,18.1,18.3,16.4,3.2,6.77
19. Robur Siena,13.4,16.6,19,18.6,2.8,6.74
20. Livorno,13.8,20.4,19,17.1,3,6.70
