Team,Shots pg,Shots OT pg,Dribbles pg,Fouled pg,Rating
1. Inter,16.5,5.5,9.5,15.8,7.09
2. Roma,16.2,5.2,8.9,19.3,7.07
3. AC Milan,13.6,4.8,8.3,16.2,7.04
4. Napoli,14.7,5.1,6.5,17.3,6.96
5. Udinese,15,5.5,7.6,16.7,6.94
6. Palermo FC,14.9,5.4,6.8,15.4,6.92
7. Cagliari,10.9,3.9,6.4,16.3,6.91
8. Genoa,11.1,4,6.7,16.1,6.91
9. Bari,11.1,4,8.2,16.3,6.89
10. Lazio,15.7,4.9,9.6,19.6,6.88
11. Parma Calcio 1913,12.3,4.3,6.7,16.9,6.88
12. Sampdoria,11.6,4.2,4.3,21.9,6.87
13. Juventus,15.3,5.1,7.3,16.9,6.84
14. Chievo,12,4.2,4,15.8,6.84
15. Catania,11.6,3.6,6.2,16.9,6.84
16. Fiorentina,16.6,5.6,5,14.6,6.83
17. Bologna,10,3.2,5.3,15.7,6.78
18. Atalanta,13.9,4.1,5.8,17.5,6.77
19. Robur Siena,13.2,4.3,6.9,16.3,6.74
20. Livorno,13,4.1,5.4,17.1,6.70
